Comparison,Term,NES,NOM_p,FDR_q
WT3_vs_WT1,Response to Type II Interferon (GO:0034341),-1.8717006918783035,0.0,0.0
WT3_vs_WT1,Response to Cytokine (GO:0034097),0.934113200910524,0.624910302409021,1.0
WT3_vs_WT1,Defense Response to Virus (GO:0051607),0.7821412394133812,0.8801946077437665,0.8518287398162593
WT3_vs_WT2,Response to Type II Interferon (GO:0034341),-2.1319405111579623,0.0,0.0
WT3_vs_WT2,Response to Cytokine (GO:0034097),-1.5061237505430463,0.009155645981688708,0.025582717453098352
WT3_vs_WT2,Defense Response to Virus (GO:0051607),-1.2813514770700398,0.03713188220230474,0.07674815235929505
