Comparison,Term,Seeds_n,Rank_genes,NES_min,NES_max,NOM_p_min,NOM_p_max,FDR_q_min,FDR_q_max,FDR_lt_0.05_all_10_seeds
KO_vs_WT1,Response to Cytokine (GO:0034097),10,12520,1.1834684945611238,1.2068746701815578,0.15834218916046758,0.18412698412698414,0.4916787264833575,0.5748373101952278,False
KO_vs_WT1,Defense Response to Virus (GO:0051607),10,12520,1.1285832096549753,1.150961470983696,0.21793534932221065,0.259726603575184,0.3574817518248175,0.4050429184549356,False
KO_vs_WT1,Response to Type II Interferon (GO:0034341),10,12520,1.0312481010708148,1.058213104065946,0.37729357798165136,0.4315304948216341,0.3835021707670043,0.4339486065870431,False
KO_vs_WT2,Defense Response to Virus (GO:0051607),10,12538,0.8730569688639989,0.8965203304210863,0.652760736196319,0.7073170731707317,1.0,1.0,False
KO_vs_WT2,Response to Cytokine (GO:0034097),10,12538,0.8126544589139483,0.8277745297250398,0.7975609756097561,0.8378712871287128,1.0,1.0,False
KO_vs_WT2,Response to Type II Interferon (GO:0034341),10,12538,0.7848598023832623,0.8072946196793184,0.770098730606488,0.8118131868131868,0.8184961106309421,0.848902281532501,False
KO_vs_WT3,Response to Type II Interferon (GO:0034341),10,12798,1.899653992164653,1.973418972033574,0.0,0.002331002331002331,0.0,0.002255639097744361,True
KO_vs_WT3,Response to Cytokine (GO:0034097),10,12798,1.5163419755706318,1.5577647477697294,0.006711409395973154,0.019138755980861243,0.013090909090909092,0.03115727002967359,True
KO_vs_WT3,Defense Response to Virus (GO:0051607),10,12798,1.454258423672584,1.4982287868777318,0.004310344827586207,0.013953488372093023,0.016516516516516516,0.0299625468164794,True
KO_vs_WTmean,Defense Response to Virus (GO:0051607),10,12551,1.1010661587642936,1.1235049359803866,0.23915900131406045,0.2875816993464052,0.7826685006877578,0.8918169209431346,False
KO_vs_WTmean,Response to Cytokine (GO:0034097),10,12551,1.0689035508388176,1.095192421621194,0.2902338376891334,0.3484646194926569,0.44878513577894236,0.5205198358413133,False
KO_vs_WTmean,Response to Type II Interferon (GO:0034341),10,12551,0.9740233101418585,1.0043776162733764,0.44175491679273826,0.49325337331334335,0.45150812064965196,0.5108645399907535,False
WT3_vs_WT1,Response to Type II Interferon (GO:0034341),10,12626,-1.9574955233321685,-1.8045648234799876,0.0,0.0,0.0,0.0,True
WT3_vs_WT1,Response to Cytokine (GO:0034097),10,12626,0.9321862989417391,0.9559387404085913,0.5674562306900103,0.640124095139607,1.0,1.0,False
WT3_vs_WT1,Defense Response to Virus (GO:0051607),10,12626,0.7693086486677143,0.78633776191778,0.8655804480651731,0.8995943204868154,0.8383275261324041,0.8702157272094642,False
WT3_vs_WT2,Response to Type II Interferon (GO:0034341),10,12651,-2.0940479609252183,-2.0305774396164913,0.0,0.0,0.0,0.0,True
WT3_vs_WT2,Response to Cytokine (GO:0034097),10,12651,-1.4518405951292919,-1.3803434398507723,0.0,0.031914893617021274,0.03269754768392371,0.06048387096774194,False
WT3_vs_WT2,Defense Response to Virus (GO:0051607),10,12651,-1.312712227590231,-1.245078342796314,0.010526315789473684,0.06944444444444445,0.05475504322766571,0.1099476439790576,False
