Comparison,Clusters_A,Clusters_B,ARI
r0.2_vs_r0.4,6,6,0.7706439838590952
r0.4_vs_r0.6,6,9,0.6627998359580295
r0.2_vs_r0.6,6,9,0.5993480152926138
