Resolution,MG_state,WT1_percent,WT2_percent,WT3_percent,KO_percent,WT_min_percent,WT_max_percent,KO_vs_WT_range
r0.2,Basal duct,8.22429906542056,9.915356711003627,13.524229074889869,1.9847972972972974,8.22429906542056,13.524229074889869,below_WT_range
r0.2,Cycling MG,10.0,9.552599758162032,9.118942731277533,11.866554054054054,9.118942731277533,10.0,above_WT_range
r0.2,Defense/stress duct-like,26.16822429906542,31.801692865779927,25.066079295154186,29.096283783783782,25.066079295154186,31.801692865779927,within_WT_range
r0.2,Differentiated duct,19.53271028037383,17.04957678355502,12.863436123348018,31.16554054054054,12.863436123348018,19.53271028037383,above_WT_range
r0.2,Early/differentiating meibocyte,26.074766355140188,22.128174123337363,26.56387665198238,15.392736486486486,22.128174123337363,26.56387665198238,below_WT_range
r0.2,Lipogenic/differentiated meibocyte,10.0,9.552599758162032,12.863436123348018,10.494087837837839,9.552599758162032,12.863436123348018,within_WT_range
r0.4,Basal duct,8.22429906542056,9.915356711003627,13.524229074889869,1.9847972972972974,8.22429906542056,13.524229074889869,below_WT_range
r0.4,Cycling MG,11.77570093457944,11.608222490931077,10.044052863436123,15.58277027027027,10.044052863436123,11.77570093457944,above_WT_range
r0.4,Defense/stress duct-like,28.878504672897197,32.04353083434099,26.82819383259912,25.886824324324323,26.82819383259912,32.04353083434099,below_WT_range
r0.4,Differentiated duct,15.14018691588785,15.598548972188633,11.145374449339206,31.925675675675677,11.145374449339206,15.598548972188633,above_WT_range
r0.4,Early/differentiating meibocyte,24.57943925233645,20.435308343409915,21.18942731277533,12.816722972972974,20.435308343409915,24.57943925233645,below_WT_range
r0.4,Lipogenic/differentiated meibocyte,11.401869158878505,10.399032648125756,17.26872246696035,11.80320945945946,10.399032648125756,17.26872246696035,within_WT_range
r0.6,Basal duct,8.22429906542056,9.915356711003627,13.612334801762115,2.027027027027027,8.22429906542056,13.612334801762115,below_WT_range
r0.6,Cycling MG,11.495327102803738,11.85006045949214,10.13215859030837,18.475506756756758,10.13215859030837,11.85006045949214,above_WT_range
r0.6,Defense/stress duct-like,30.46728971962617,34.582829504232166,27.88546255506608,32.073479729729726,27.88546255506608,34.582829504232166,within_WT_range
r0.6,Differentiated duct,13.83177570093458,12.696493349455865,10.13215859030837,22.86739864864865,10.13215859030837,13.83177570093458,above_WT_range
r0.6,Early/differentiating meibocyte,22.61682242990654,19.588875453446192,18.986784140969164,11.972128378378379,18.986784140969164,22.61682242990654,below_WT_range
r0.6,Lipogenic/differentiated meibocyte,13.36448598130841,11.366384522370012,19.251101321585903,12.58445945945946,11.366384522370012,19.251101321585903,within_WT_range
