Probe_rule,Term,Seeds_n,Genes_ranked,Zero_variance_removed,NES_min,NES_max,NOM_p_max,FDR_q_max,FDR_lt_0.05_all_10_seeds
representativeProbe,Response to Type II Interferon (GO:0034341),10,22947,2212,1.6313164831802334,1.6840056612772942,0.006818181818181818,0.010178117048346057,True
representativeProbe,Response to Cytokine (GO:0034097),10,22947,2212,0.8671348131563578,0.8994257840665184,0.7923076923076923,0.7599486521181001,False
maxLog2VarianceProbe,Response to Type II Interferon (GO:0034341),10,22947,2212,1.5433469750012647,1.60886086364455,0.01643192488262911,0.017114914425427872,True
maxLog2VarianceProbe,Response to Cytokine (GO:0034097),10,22947,2212,0.8811276741339585,0.9021751646487494,0.7453083109919572,0.7107142857142857,False
