Symbol,meanProbe,All_mean_log2,maxVar_probe,log2_variance,same_probe
GLB1L,ILMN_2217513,5.803350766953374,ILMN_2217513,0.03516455751150014,True
GLB1L2,ILMN_2144401,4.099093556248759,ILMN_2144401,0.0301646935182208,True
GLCCI1,ILMN_1781431,4.929689658517912,ILMN_1781431,0.19410952322965702,True
GLCE,ILMN_1714349,5.890931383491399,ILMN_1714349,0.15354321210894809,True
GLDC,ILMN_1806754,8.436999644484901,ILMN_1806754,2.28746249689445,True
GLDN,ILMN_1704376,6.197450503620977,ILMN_1704376,0.7537901006328028,True
GLE1,ILMN_1754912,7.77693205034484,ILMN_1694323,0.16979214942752432,False
GLG1,ILMN_1772261,8.53935766153788,ILMN_1772261,0.06553931075438467,True
GLI1,ILMN_1779989,5.023987643833888,ILMN_1779989,0.11945477473878197,True
GLI2,ILMN_1727577,4.072565344854297,ILMN_1727577,0.014497200749834684,True
GLI3,ILMN_1771962,5.339944787439672,ILMN_1771962,0.0942723136510803,True
GLI4,ILMN_1782751,4.0,ILMN_1782751,0.0,True
GLIPR1,ILMN_1769245,5.263860617380141,ILMN_1769245,0.5528423956623268,True
GLIPR1L1,ILMN_1768975,5.4516382625863145,ILMN_1768975,0.0832700037336419,True
GLIPR1L2,ILMN_1769559,4.072904184079872,ILMN_1769559,0.029036467128824392,True
GLIS1,ILMN_1736101,4.0,ILMN_1736101,0.0,True
GLIS2,ILMN_1710985,4.011167639006329,ILMN_1710985,0.0014965939317081623,True
GLIS3,ILMN_1693427,5.455765049684036,ILMN_1693427,0.04433192308836452,True
GLMN,ILMN_1739397,6.075267502594121,ILMN_1739397,0.18548946905348576,True
GLO1,ILMN_1702177,10.008854757920334,ILMN_1702177,0.10921570300615092,True
GLOD4,ILMN_1738656,7.526790569371144,ILMN_1738656,0.05286590653160801,True
GLOD5,ILMN_2236440,5.011403028673041,ILMN_2236440,0.2208502108440637,True
GLP1R,ILMN_1787257,4.008214423910564,ILMN_1787257,0.0008097211221894493,True
GLP2R,ILMN_1770675,4.0,ILMN_1770675,0.0,True
GLRA1,ILMN_1764797,4.0,ILMN_1764797,0.0,True
GLRA2,ILMN_1788786,4.0,ILMN_1788786,0.0,True
GLRA3,ILMN_2354287,4.019853570221688,ILMN_2354287,0.00472997100657027,True
GLRB,ILMN_1669631,4.786163970630974,ILMN_1669631,0.5657968606906748,True
GLRX,ILMN_1737308,9.44919434530527,ILMN_1737308,0.3026849403022849,True
GLRX2,ILMN_1680727,7.219030405037639,ILMN_1680727,0.966596428823152,True
GLRX5,ILMN_1796165,10.391679463300083,ILMN_1796165,0.0761477595303621,True
GLS,ILMN_2188722,5.374276448872951,ILMN_2188722,0.31792943499098153,True
GLS2,ILMN_1677439,5.6865161431358775,ILMN_1677439,0.13416358749473575,True
GLT1D1,ILMN_1656327,4.020424625313525,ILMN_1656327,0.003773725353225819,True
GLT25D1,ILMN_1727043,6.227869409506406,ILMN_1727043,0.20236421813513486,True
GLT25D2,ILMN_1736742,4.196704208497266,ILMN_1736742,0.12263755597518965,True
GLT6D1,ILMN_1736060,4.893708217391025,ILMN_1736060,0.13207206469852417,True
GLT8D1,ILMN_1652727,5.2173769340115825,ILMN_1713290,0.5476293020681168,False
GLT8D2,ILMN_1802654,5.8130085610707924,ILMN_1802654,0.5555978289892017,True
GLT8D3,ILMN_1747183,4.729006068575673,ILMN_1747183,0.19322131900256723,True
GLT8D4,ILMN_2085844,4.0,ILMN_2085844,0.0,True
GLTP,ILMN_1764380,10.777646001146792,ILMN_1764380,0.317183426602134,True
GLTPD1,ILMN_2234310,4.895728907315971,ILMN_2234310,0.19507630687762004,True
GLTPD2,ILMN_1727195,4.0,ILMN_1727195,0.0,True
GLTSCR1,ILMN_1782829,6.286733812108934,ILMN_1782829,0.11169009959735186,True
GLTSCR2,ILMN_1703565,11.731802007739773,ILMN_1703565,0.05961411212767618,True
GLUD1,ILMN_1713756,8.397508521589407,ILMN_1713756,0.112269035195354,True
GLUD2,ILMN_1777521,5.580489076180154,ILMN_1777521,0.17904887569448408,True
GLUL,ILMN_1765208,6.244845456579872,ILMN_1765208,0.11461363469888664,True
GLULD1,ILMN_2143427,4.032160599795301,ILMN_2143427,0.006523738013919252,True
GLYAT,ILMN_1811345,4.089291511301399,ILMN_1811345,0.0111633203717643,True
GLYATL1,ILMN_1769032,5.91456293113702,ILMN_1769032,0.04096005788982873,True
GLYATL2,ILMN_2161820,7.185697994456257,ILMN_2161820,2.282070477606614,True
GLYCAM1,ILMN_1663620,4.191148554719328,ILMN_1663620,0.11003706668595283,True
GLYCTK,ILMN_1791222,4.1233651403923,ILMN_1791222,0.06764818325508942,True
GM2A,ILMN_2221046,6.078627192821919,ILMN_2221046,0.48898092687972255,True
GMCL1,ILMN_1670532,5.352380678419205,ILMN_2194627,0.21424579828387713,False
GMCL1L,ILMN_1778105,4.0,ILMN_1778105,0.0,True
GMDS,ILMN_1711227,9.651404638867813,ILMN_1711227,0.5864540529775938,True
GMEB1,ILMN_1727761,4.644718760091791,ILMN_1727761,0.18876203457298288,True
GMEB2,ILMN_1683204,7.040800428365753,ILMN_1683204,0.05210751275423207,True
GMFB,ILMN_2093674,8.049901267107682,ILMN_2093674,0.12125418466065006,True
GMFG,ILMN_1711617,6.9928123581564865,ILMN_1711617,0.4307033231162071,True
GMIP,ILMN_1805693,4.069113283762253,ILMN_1805693,0.014643056236724154,True
GML,ILMN_1654479,4.0574413669190115,ILMN_1654479,0.018655241730448975,True
GMNN,ILMN_1720114,5.479040891447923,ILMN_1720114,0.34824607719938033,True
GMPPA,ILMN_1804476,5.683171760935766,ILMN_1804476,0.14287953157632713,True
GMPPB,ILMN_2412927,5.849202362937692,ILMN_1773645,0.09386248588061565,False
GMPR,ILMN_1729487,4.983357473669523,ILMN_1729487,0.5032013345446227,True
GMPR2,ILMN_2365595,8.427238887746338,ILMN_1754788,0.049968686039826696,False
GNA11,ILMN_1802397,6.483278796874753,ILMN_1802397,0.03389745874249037,True
GNA12,ILMN_2216157,4.847585740125101,ILMN_2216157,0.11520300221399297,True
GNA13,ILMN_2176037,6.199342189617314,ILMN_1758906,0.23361348505693671,False
GNA14,ILMN_1686227,4.163577405022549,ILMN_1686227,0.08980567341676195,True
GNA15,ILMN_1773963,6.227978298964418,ILMN_1773963,0.6310490806602965,True
GNAI1,ILMN_1742044,4.659857001925907,ILMN_1742044,0.13733027187356509,True
GNAI2,ILMN_1775762,6.120635650209486,ILMN_1775762,0.3677671472518791,True
GNAI3,ILMN_1696003,6.06597932506476,ILMN_1696003,0.07967229834240737,True
GNAL,ILMN_1746027,5.473925821331689,ILMN_1746027,0.13405902691540883,True
GNAO1,ILMN_1800381,4.0449463697512895,ILMN_1800381,0.012295340886191199,True
GNAQ,ILMN_1659923,4.344396005288727,ILMN_1659923,0.188752912479222,True
GNAS,ILMN_1769191,10.751452757810803,ILMN_1769191,0.19938663993200895,True
GNAT1,ILMN_1697315,5.889811086449399,ILMN_1750901,0.09824666788280312,False
GNAT2,ILMN_1745537,4.0,ILMN_1745537,0.0,True
GNAT3,ILMN_1654354,4.017168479679063,ILMN_1654354,0.0035370803338849992,True
GNAZ,ILMN_1766182,4.068745454937191,ILMN_1766182,0.03728021319525317,True
GNB1,ILMN_1760320,9.184690394058542,ILMN_1760320,0.06787184467590181,True
GNB1L,ILMN_1761044,4.693692145855879,ILMN_1761044,0.29292823657205036,True
GNB2,ILMN_1658928,5.144741428576412,ILMN_1658928,0.1581955259975991,True
GNB2L1,ILMN_1736500,13.70151550430365,ILMN_1736500,0.024382127725439472,True
GNB3,ILMN_2115336,4.0,ILMN_2115336,0.0,True
GNB4,ILMN_1733249,4.601882576386258,ILMN_1733249,0.1362617441742516,True
GNB5,ILMN_2412294,4.151733176012108,ILMN_2412294,0.04028163428402443,True
GNE,ILMN_1729417,6.197855207009612,ILMN_1729417,0.9893630007908194,True
GNG10,ILMN_1757074,6.633591745183283,ILMN_1757074,0.7702028092708718,True
GNG11,ILMN_1782419,7.7777987105018145,ILMN_1782419,0.579759733682303,True
