Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Response to Type II Interferon (GO:0034341),3.689703e-01,1.702072e+00,1.673840e-03,1.977017e-03,8.000000e-04,28/72,23.44%,FCAR;GBP6;GAPDH;GBP1;CITED1;RPL13A;CYP27B1;CCL2;STAT1;KYNU;SYNCRIP;GBP7;CAMK2A;PSMB9;PSMA2;GBP2;GBP5;PSMB4;UBD;CD58;PSMA4;GCH1;PSMB8;CALCOCO2;CASP1;GBP4;GBP3;PSMB1
prerank,Response to Cytokine (GO:0034097),1.802736e-01,9.358114e-01,6.210688e-01,6.026195e-01,3.905000e-01,37/138,23.54%,MAPKAPK3;KHSRP;SHMT2;CITED1;CYP27B1;IRAK2;IL1B;STAT1;KYNU;SRF;SPHK1;NFAT5;AFF3;BCL2L1;PSMB9;PSMA2;CH25H;PSMB4;UBD;KLHL20;OSMR;SELL;IFIT3;PSMA4;GCH1;PSMB8;ITIH4;CALCOCO2;CDK9;PML;SETD2;CD274;CSF1R;RELB;PSMB1;REL;IRAK3
