Seed,Term,NES,NOM_p,FDR_q
1,Response to Type II Interferon (GO:0034341),1.6614360792377916,0.0022624434389140274,0.002347417840375587
1,Response to Cytokine (GO:0034097),0.9027019110168869,0.7219512195121951,0.687793427230047
2,Response to Type II Interferon (GO:0034341),1.6742374027126172,0.0,0.0
2,Response to Cytokine (GO:0034097),0.9201729672827238,0.626984126984127,0.6311881188118812
3,Response to Type II Interferon (GO:0034341),1.6806387848378586,0.005050505050505051,0.005089058524173028
3,Response to Cytokine (GO:0034097),0.9304984295285071,0.6153846153846154,0.6043256997455471
4,Response to Type II Interferon (GO:0034341),1.668009516736878,0.0,0.002336448598130841
4,Response to Cytokine (GO:0034097),0.9198551089268228,0.6682808716707022,0.6483644859813084
5,Response to Type II Interferon (GO:0034341),1.652548555190015,0.002304147465437788,0.002386634844868735
5,Response to Cytokine (GO:0034097),0.9090700258799614,0.6782178217821783,0.6575178997613366
6,Response to Type II Interferon (GO:0034341),1.665657030514189,0.0024813895781637717,0.002544529262086514
6,Response to Cytokine (GO:0034097),0.9269266052203108,0.6370757180156658,0.6208651399491094
7,Response to Type II Interferon (GO:0034341),1.648952853653736,0.0047169811320754715,0.0049079754601227
7,Response to Cytokine (GO:0034097),0.9138490716413342,0.6649616368286445,0.6429447852760736
8,Response to Type II Interferon (GO:0034341),1.6551876754253063,0.004618937644341801,0.0047789725209080045
8,Response to Cytokine (GO:0034097),0.9001199321773126,0.6955445544554455,0.6690561529271206
9,Response to Type II Interferon (GO:0034341),1.623536685078244,0.002403846153846154,0.002472187886279357
9,Response to Cytokine (GO:0034097),0.9053368037778108,0.7022900763358778,0.6872682323856613
10,Response to Type II Interferon (GO:0034341),1.6637604784695257,0.002398081534772182,0.005050505050505051
10,Response to Cytokine (GO:0034097),0.9109453838369015,0.7173333333333334,0.6691919191919192
