Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P8,GO_Biological_Process_2026,gs_ind_0,Acetyl-CoA Metabolic Process (GO:0006084),1/18,0.06401504258973123,0.17612978568887375,23.388801148600145,64.28732849758696,ACOT12
P8,GO_Biological_Process_2026,gs_ind_0,Actin Filament Organization (GO:0007015),1/168,0.461605380801754,0.5008267530267396,2.430105752643816,1.8785808755688251,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Acyl-CoA Biosynthetic Process (GO:0071616),1/17,0.060567584183063565,0.17334860300669916,24.80721790772042,69.5593259790493,PCCA
P8,GO_Biological_Process_2026,gs_ind_0,Acyl-CoA Metabolic Process (GO:0006637),2/29,0.00506840162905688,0.06821794625054936,25.04891555145362,132.37674976169106,GPAT4;ACOT12
P8,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Biosynthetic Process (GO:0046463),2/22,0.0029322720492415346,0.053202562141841395,33.610870372663115,196.01784692880852,AWAT2;GPAT4
P8,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Catabolic Process (GO:0046464),1/33,0.11424883561195394,0.20689425503546569,12.587011982991882,27.305967256473732,MGLL
P8,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Metabolic Process (GO:0006639),3/37,0.00033967411776744417,0.011277180709879146,28.232552954292085,225.50819083507244,AWAT2;DGKI;MGLL
P8,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),1/143,0.4094983938692628,0.45930225258309204,2.859084898175086,2.552654748599491,ADCY7
P8,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),1/211,0.5407947414030133,0.5717957138401287,1.9306150706024183,1.1867789660321344,ADCY7
P8,GO_Biological_Process_2026,gs_ind_0,Alpha-linolenic Acid Metabolic Process (GO:0036109),1/9,0.032531551648223855,0.14595236685419352,48.16937629323086,165.00635843822025,ELOVL1
P8,GO_Biological_Process_2026,gs_ind_0,Amino Acid Metabolic Process (GO:0006520),1/26,0.09114756758275655,0.19561624501307484,16.046408513154006,38.435568598252985,PCCA
P8,GO_Biological_Process_2026,gs_ind_0,Aminophospholipid Transport (GO:0015917),1/4,0.014590042112100507,0.1324305556741369,117.0043072505384,494.6258840598229,ATP8A1
P8,GO_Biological_Process_2026,gs_ind_0,Amyloid Fibril Formation (GO:1990000),1/24,0.08443833551787916,0.1911376867631992,17.41334331230621,43.0411486823959,CD36
P8,GO_Biological_Process_2026,gs_ind_0,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),1/98,0.3028206973137532,0.3669214288619199,4.185620409741013,5.000202442333122,CTLA4
P8,GO_Biological_Process_2026,gs_ind_0,Apoptotic Process (GO:0006915),1/242,0.5906199044667679,0.6179174630765766,1.6808577046724305,0.8851104340204673,CIDEA
P8,GO_Biological_Process_2026,gs_ind_0,Arachidonate Metabolic Process (GO:0019369),2/29,0.00506840162905688,0.06821794625054936,25.04891555145362,132.37674976169106,AWAT1;MGLL
P8,GO_Biological_Process_2026,gs_ind_0,Autophagosome Assembly (GO:0000045),2/64,0.02316397380661601,0.1389838428396961,11.00730964467005,41.44424962462814,ATG7;ATG9B
P8,GO_Biological_Process_2026,gs_ind_0,Autophagosome Organization (GO:1905037),2/61,0.021176158269771574,0.1324305556741369,11.56357974661946,44.576204662481985,ATG7;ATG9B
P8,GO_Biological_Process_2026,gs_ind_0,Autophagy of Mitochondrion (GO:0000422),2/58,0.01926394116891126,0.1324305556741369,12.178922779749337,48.10090230987296,ATG7;ATG9B
P8,GO_Biological_Process_2026,gs_ind_0,B Cell Receptor Signaling Pathway (GO:0050853),1/31,0.10770844937287086,0.20317730222609728,13.413378367246066,29.88939646374393,CTLA4
P8,GO_Biological_Process_2026,gs_ind_0,Bile Acid and Bile Salt Transport (GO:0015721),1/28,0.09780812250653742,0.19561624501307484,14.878300593878484,34.58829438886499,STARD5
P8,GO_Biological_Process_2026,gs_ind_0,Blood Vessel Endothelial Cell Migration (GO:0043534),1/25,0.08779905814197392,0.19261643592380182,16.70197928417598,40.630980258906256,ADTRP
P8,GO_Biological_Process_2026,gs_ind_0,Body Fluid Secretion (GO:0007589),1/13,0.04665159224326654,0.16246498557445269,32.75035175879397,100.38140738175221,GPAT4
P8,GO_Biological_Process_2026,gs_ind_0,Bone Development (GO:0060348),1/44,0.14938162196228383,0.23541787258613084,9.400277248310518,17.872286764451427,ATG9B
P8,GO_Biological_Process_2026,gs_ind_0,Bone Morphogenesis (GO:0060349),1/15,0.05363491085988955,0.16798858873097483,28.2309824987004,82.591294852792,ATG9B
P8,GO_Biological_Process_2026,gs_ind_0,Brain Development (GO:0007420),1/155,0.43510474089023493,0.480448250473031,2.635849148655901,2.193470614396082,CAPN15
P8,GO_Biological_Process_2026,gs_ind_0,Branched-chain Amino Acid Metabolic Process (GO:0009081),1/17,0.060567584183063565,0.17334860300669916,24.80721790772042,69.5593259790493,PCCA
P8,GO_Biological_Process_2026,gs_ind_0,CAMP Biosynthetic Process (GO:0006171),1/10,0.036080852581350895,0.1472808572583012,43.0973287490082,143.16902243022955,ADCY7
P8,GO_Biological_Process_2026,gs_ind_0,CAMP Metabolic Process (GO:0046058),1/13,0.04665159224326654,0.16246498557445269,32.75035175879397,100.38140738175221,ADCY7
P8,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Import (GO:0070509),1/31,0.10770844937287086,0.20317730222609728,13.413378367246066,29.88939646374393,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Import Across Plasma Membrane (GO:0098703),1/23,0.08106535561630931,0.19042710894774545,18.187939698492464,45.697191038775365,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Import Into Cytosol (GO:1902656),1/24,0.08443833551787916,0.1911376867631992,17.41334331230621,43.0411486823959,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),1/36,0.12397052607037776,0.21586476217848993,11.52204685398825,24.054708967199332,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Transmembrane Transport (GO:0070588),1/92,0.2872259237732201,0.3540557179184743,4.461075871159074,5.565130506335436,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Transport (GO:0006816),1/143,0.4094983938692628,0.45930225258309204,2.859084898175086,2.552654748599491,TRPV3
P8,GO_Biological_Process_2026,gs_ind_0,Carboxylic Acid Metabolic Process (GO:0019752),1/37,0.12718755619754754,0.2161754368135791,11.205961313416397,23.107728348226125,PCCA
