Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P7,Reactome_Pathways_2024,gs_ind_0,ABC Transporters in Lipid Homeostasis,2/17,0.0017470948129191322,0.008565025790164526,44.4612739479286,282.3202407734291,ABCD3;PEX3
P7,Reactome_Pathways_2024,gs_ind_0,ABC-family Proteins Mediated Transport,2/85,0.039043681736093294,0.09259383355498227,8.23262105231162,26.699001057599013,ABCD3;PEX3
P7,Reactome_Pathways_2024,gs_ind_0,AMPK Inhibits chREBP Transcriptional Activation Activity,1/8,0.02896931280161029,0.07562119315745024,54.59396984924623,193.34553720447744,ADIPOR2
P7,Reactome_Pathways_2024,gs_ind_0,Activation of Gene Expression by SREBF (SREBP),17/40,7.754052145557138e-32,3.896411203142462e-30,242.0837049305644,17341.54695507497,HMGCS1;MVD;FDPS;SREBF2;PMVK;FASN;ELOVL6;DHCR7;SQLE;FDFT1;LSS;ACACA;PPARA;GPAM;IDI1;HMGCR;ACACB
P7,Reactome_Pathways_2024,gs_ind_0,Acyl Chain Remodeling of DAG and TAG,2/7,0.0002763051291217819,0.0015867808843850904,125.3461005999077,1027.0865452902929,DGAT2;MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Acyl Chain Remodelling of PC,1/26,0.09114756758275655,0.16212974410738112,16.046408513154006,38.435568598252985,LPCAT3
P7,Reactome_Pathways_2024,gs_ind_0,Acyl Chain Remodelling of PE,1/26,0.09114756758275655,0.16212974410738112,16.046408513154006,38.435568598252985,LPCAT3
P7,Reactome_Pathways_2024,gs_ind_0,Acyl Chain Remodelling of PS,1/21,0.07428244681570347,0.14495894961122716,19.96384360828533,51.90360975057245,LPCAT3
P7,Reactome_Pathways_2024,gs_ind_0,Adipogenesis,5/105,4.332260041628583e-05,0.000395811031076066,15.511057279049778,155.83705036855378,SREBF2;ELOVL3;PPARG;PPARA;CIDEA
P7,Reactome_Pathways_2024,gs_ind_0,Aflatoxin Activation and Detoxification,1/12,0.043140826609840886,0.09853756987020475,35.59951933580948,111.89945212016866,MGST1
P7,Reactome_Pathways_2024,gs_ind_0,Alpha-Linolenic (Omega3) and Linoleic (Omega6) Acid Metabolism,3/12,1.0279744154689185e-05,0.0001033114287546263,102.62321187584345,1178.6619862500668,HSD17B4;ELOVL1;ELOVL3
P7,Reactome_Pathways_2024,gs_ind_0,Alpha-Linolenic Acid (ALA) Metabolism,3/12,1.0279744154689185e-05,0.0001033114287546263,102.62321187584345,1178.6619862500668,HSD17B4;ELOVL1;ELOVL3
P7,Reactome_Pathways_2024,gs_ind_0,Alpha-oxidation of Phytanate,2/6,0.00019783434624159155,0.0012426469873299969,153.20642978003383,1306.5567682102458,HACL1;PECR
P7,Reactome_Pathways_2024,gs_ind_0,Androgen Biosynthesis,1/11,0.03961726211805212,0.09259383355498227,38.99138549892319,125.88331156809635,HSD17B12
P7,Reactome_Pathways_2024,gs_ind_0,Apoptosis,1/151,0.42669385591583603,0.5045027355240179,2.7063056144509927,2.304929336740743,DAPK1
P7,Reactome_Pathways_2024,gs_ind_0,Arachidonate Production From DAG,1/5,0.018204501114733745,0.05998532334527021,91.0,364.55386253468845,MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Asparagine N-linked Glycosylation,1/290,0.6574059878610077,0.714262721946284,1.3996667274194807,0.5870951207998688,MVD
P7,Reactome_Pathways_2024,gs_ind_0,Axon Guidance,1/518,0.8536176459022253,0.8890007607582762,0.7763600611754424,0.12287598730514598,NRP2
P7,Reactome_Pathways_2024,gs_ind_0,"BMAL1 CLOCK,NPAS2 Activates Circadian Gene Expression",1/27,0.09448390777737954,0.16514143881089818,15.440314781454441,36.428732206490906,PPARA
P7,Reactome_Pathways_2024,gs_ind_0,Bacterial Infection Pathways,1/73,0.23552841416211917,0.3177262499770869,5.634136198232542,8.146531160523915,PTPA
P7,Reactome_Pathways_2024,gs_ind_0,Beta-oxidation of Very Long Chain Fatty Acids,1/10,0.036080852581350895,0.08737652251628349,43.0973287490082,143.16902243022955,HSD17B4
P7,Reactome_Pathways_2024,gs_ind_0,Beta-oxidation of pristanoyl-CoA,3/9,3.956548240454554e-06,5.426981868630432e-05,150.0043392504931,1866.074766266742,CRAT;HSD17B4;ACOXL
P7,Reactome_Pathways_2024,gs_ind_0,Bile Acid and Bile Salt Metabolism,1/37,0.12718755619754754,0.20451759036565648,11.205961313416397,23.107728348226125,HSD17B4
P7,Reactome_Pathways_2024,gs_ind_0,Binding and Uptake of Ligands by Scavenger Receptors,1/38,0.13039289018139794,0.20636984981465342,10.906733668341708,22.219232230345032,SCARB1
P7,Reactome_Pathways_2024,gs_ind_0,Biological Oxidations,3/156,0.01983282943182778,0.06429675348060297,6.317597928672847,24.767616184775715,CYB5B;MGST1;ACSS2
P7,Reactome_Pathways_2024,gs_ind_0,Biosynthesis of the N-glycan Precursor (Dolichol LLO) and Transfer to a Nascent Protein,1/77,0.24671186426811992,0.32840453455557683,5.3387525864617205,7.471766641728897,MVD
P7,Reactome_Pathways_2024,gs_ind_0,Biotin Transport and Metabolism,3/10,5.637143188184175e-06,6.294809893472328e-05,129.99897435897435,1571.1849131670153,HLCS;ACACA;ACACB
P7,Reactome_Pathways_2024,gs_ind_0,Carnitine Shuttle,2/14,0.001177425879292313,0.005916565043443872,55.13807106598985,371.87456739203236,ACACA;ACACB
P7,Reactome_Pathways_2024,gs_ind_0,Caspase Activation via Dependence Receptors in the Absence of Ligand,1/10,0.036080852581350895,0.08737652251628349,43.0973287490082,143.16902243022955,DAPK1
P7,Reactome_Pathways_2024,gs_ind_0,Caspase Activation via Extrinsic Apoptotic Signalling Pathway,1/24,0.08443833551787916,0.1586178078419973,17.41334331230621,43.0411486823959,DAPK1
P7,Reactome_Pathways_2024,gs_ind_0,Cellular Response to Chemical Stress,1/183,0.49065659780559856,0.560352137266621,2.229131961175742,1.5871660072389608,PPARA
P7,Reactome_Pathways_2024,gs_ind_0,Cellular Responses to Stimuli,1/780,0.9453973337069853,0.9501243203755202,0.5103484065613507,0.02865605328448992,PPARA
P7,Reactome_Pathways_2024,gs_ind_0,Cellular Responses to Stress,1/690,0.9232977905417293,0.9325771653210432,0.5789316415288918,0.046200749954641566,PPARA
P7,Reactome_Pathways_2024,gs_ind_0,ChREBP Activates Metabolic Gene Expression,4/8,1.1786294239689856e-08,2.6322723801974015e-07,281.48704663212436,5138.919987773136,FASN;ACLY;ACACA;ACACB
P7,Reactome_Pathways_2024,gs_ind_0,Cholesterol Biosynthesis,16/26,1.5629706982069213e-33,1.0471903677986373e-31,505.0422654268808,38150.246157404516,HMGCS1;MVD;FDPS;SREBF2;NSDHL;PMVK;MSMO1;DHCR7;SQLE;FDFT1;LSS;HSD17B7;IDI1;DHCR24;ACAT2;HMGCR
P7,Reactome_Pathways_2024,gs_ind_0,Circadian Clock,2/68,0.025928795219488817,0.07042821404212503,10.343689172169,37.779302158526356,PPARA;ELOVL3
P7,Reactome_Pathways_2024,gs_ind_0,Class I Peroxisomal Membrane Protein Import,3/20,5.214332048950709e-05,0.00045568727906047495,55.693333333333335,549.2206124030853,ABCD3;PEX3;PXMP4
P7,Reactome_Pathways_2024,gs_ind_0,Coenzyme A Biosynthesis,1/7,0.025394089358317242,0.07042821404212503,62.9953614224971,231.39700796830692,PANK1
P7,Reactome_Pathways_2024,gs_ind_0,Constitutive Signaling by Aberrant PI3K in Cancer,1/78,0.24948232449515884,0.329876471335412,5.26967093532177,7.316238334127009,NRG4
P7,Reactome_Pathways_2024,gs_ind_0,Cytoprotection by HMOX1,1/55,0.18313427347949734,0.2610637515558792,7.499930846895025,12.731400062627513,PPARA
P7,Reactome_Pathways_2024,gs_ind_0,Defective HLCS Causes Multiple Carboxylase Deficiency,2/6,0.00019783434624159155,0.0012426469873299969,153.20642978003383,1306.5567682102458,HLCS;ACACA
P7,Reactome_Pathways_2024,gs_ind_0,Defects in Biotin (Btn) Metabolism,2/7,0.0002763051291217819,0.0015867808843850904,125.3461005999077,1027.0865452902929,HLCS;ACACA
P7,Reactome_Pathways_2024,gs_ind_0,Defects in Vitamin and Cofactor Metabolism,2/21,0.002672071389799249,0.012206507939764752,35.33580632565404,209.361165044795,HLCS;ACACA
P7,Reactome_Pathways_2024,gs_ind_0,Developmental Biology,7/1190,0.1470738204155154,0.22739875310398916,1.7611475976494988,3.375804062717954,NRP2;SREBF2;ELOVL3;PPARG;PPARA;HMGCR;CIDEA
P7,Reactome_Pathways_2024,gs_ind_0,Diseases of Metabolism,2/244,0.2253819788608095,0.30817535885049463,2.8180961850436965,4.19884673780604,HLCS;ACACA
P7,Reactome_Pathways_2024,gs_ind_0,Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,1/435,0.800341686029293,0.842244392104125,0.927543355442344,0.20657924215119627,NRG4
P7,Reactome_Pathways_2024,gs_ind_0,Disorders of Transmembrane Transporters,1/158,0.4413326282741778,0.5187594051643845,2.5853553481694185,2.114708027562443,SLC27A4
P7,Reactome_Pathways_2024,gs_ind_0,Downregulation of ERBB2 Signaling,1/29,0.10112025539501886,0.17224721469829485,14.355725998413119,32.89535401837941,NRG4
P7,Reactome_Pathways_2024,gs_ind_0,EGR2 and SOX10-mediated Initiation of Schwann Cell Myelination,2/27,0.004402722522559382,0.019237983196400774,27.01552702299194,146.57361106839556,SREBF2;HMGCR
P7,Reactome_Pathways_2024,gs_ind_0,ERBB2 Activates PTK6 Signaling,1/13,0.04665159224326654,0.10304362682303927,32.75035175879397,100.38140738175221,NRG4
P7,Reactome_Pathways_2024,gs_ind_0,ERBB2 Regulates Cell Motility,1/15,0.05363491085988955,0.11468741577487021,28.2309824987004,82.591294852792,NRG4
P7,Reactome_Pathways_2024,gs_ind_0,ESR-mediated Signaling,1/162,0.4495308548785952,0.5192856427045841,2.5209483952269087,2.0156262677425185,GPAM
P7,Reactome_Pathways_2024,gs_ind_0,Effects of PIP2 Hydrolysis,1/27,0.09448390777737954,0.16514143881089818,15.440314781454441,36.428732206490906,MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,4/105,0.0006129815436799723,0.0033299808183695793,12.435156588988999,91.98503852715805,DGAT2;GPAM;PPARG;MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,4/74,0.00016092295448291399,0.0011153625465884728,17.92360268989086,156.55522853230468,DGAT2;GPAM;PPARG;MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Epigenetic Regulation of Gene Expression,4/219,0.008710009611739806,0.03366753715307117,5.832261399564815,27.664062758874643,DGAT2;GPAM;PPARG;MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,4/74,0.00016092295448291399,0.0011153625465884728,17.92360268989086,156.55522853230468,DGAT2;GPAM;PPARG;MGLL
P7,Reactome_Pathways_2024,gs_ind_0,Estrogen-dependent Gene Expression,1/91,0.28459342977031415,0.3643520979861984,4.510536105944085,5.668362215187675,GPAM
P7,Reactome_Pathways_2024,gs_ind_0,Ethanol Oxidation,1/7,0.025394089358317242,0.07042821404212503,62.9953614224971,231.39700796830692,ACSS2
P7,Reactome_Pathways_2024,gs_ind_0,Fatty Acid Metabolism,17/154,1.089673778392329e-20,3.650407157614302e-19,41.200544365813826,1893.8169501886273,ACLY;ELOVL3;ACOXL;FASN;HSD17B4;ELOVL1;HACL1;ELOVL6;CRAT;ACACA;TECR;ACSL5;ACBD6;HACD2;PECR;ACACB;HSD17B12
P7,Reactome_Pathways_2024,gs_ind_0,Fatty acyl-CoA Biosynthesis,10/32,1.6723515150810437e-17,4.802037921875568e-16,139.9767955801105,5407.263839138803,ACLY;ELOVL3;FASN;ELOVL1;ELOVL6;ACACA;TECR;ACSL5;HACD2;HSD17B12
P7,Reactome_Pathways_2024,gs_ind_0,G Alpha (I) Signalling Events,1/262,0.6198845130224411,0.6771564517256013,1.5511496296011607,0.7417940140663349,PLCB4
P7,Reactome_Pathways_2024,gs_ind_0,G Alpha (Q) Signalling Events,2/203,0.17089585277063443,0.2525740176977759,3.3966696476930633,6.000899514303566,MGLL;PLCB4
P7,Reactome_Pathways_2024,gs_ind_0,G-protein Mediated Events,1/53,0.17709763410262688,0.25426160324734287,7.7862167982771,13.478362460655353,PLCB4
P7,Reactome_Pathways_2024,gs_ind_0,GPCR Downstream Signalling,2/549,0.600881525282674,0.670984369898986,1.2340588276197761,0.6285771108888805,MGLL;PLCB4
P7,Reactome_Pathways_2024,gs_ind_0,GRB2 Events in ERBB2 Signaling,1/16,0.0571075553965845,0.1195689441115988,26.40865618414654,75.60319879037347,NRG4
P7,Reactome_Pathways_2024,gs_ind_0,Gene Expression (Transcription),5/1145,0.4108888567015374,0.49159916783933943,1.314305978593939,1.1689864821499503,MGLL;PPARG;DGAT2;PPARA;GPAM
P7,Reactome_Pathways_2024,gs_ind_0,Generic Transcription Pathway,3/827,0.588097833224675,0.6603780138444675,1.1469546422851455,0.6088745916005813,GPAM;PPARG;PPARA
P7,Reactome_Pathways_2024,gs_ind_0,Glutathione Conjugation,1/34,0.11750120825052357,0.19621548579127354,12.21083027075677,26.147132213032688,MGST1
P7,Reactome_Pathways_2024,gs_ind_0,Glycerophospholipid Biosynthesis,5/123,9.202671284833592e-05,0.0007114372800967508,13.146199217973358,122.17330410003622,LPCAT3;MGLL;CDS1;DGAT2;GPAM
P7,Reactome_Pathways_2024,gs_ind_0,HDL Clearance,1/5,0.018204501114733745,0.05998532334527021,91.0,364.55386253468845,SCARB1
