Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P4,Reactome_Pathways_2024,gs_ind_0,RUNX1 Regulates Genes Involved in Megakaryocyte Differentiation and Platelet Function,1/38,0.13039289018139794,0.21749126604475358,10.906733668341708,22.219232230345032,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,RUNX1 Regulates Transcription of Genes Involved in WNT Signaling,1/6,0.021805834468432178,0.1432303843266989,74.4518044769301,284.8211635890129,ESR1
P4,Reactome_Pathways_2024,gs_ind_0,RUNX2 Regulates Bone Development,2/30,0.005417514395149481,0.0797682291975458,24.169115682607533,126.11730163340725,HDAC4;GLI3
P4,Reactome_Pathways_2024,gs_ind_0,RUNX2 Regulates Chondrocyte Maturation,1/5,0.018204501114733745,0.1432303843266989,91.0,364.55386253468845,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,RUNX2 Regulates Osteoblast Differentiation,1/23,0.08106535561630931,0.19076809135520847,18.187939698492464,45.697191038775365,GLI3
P4,Reactome_Pathways_2024,gs_ind_0,RUNX3 Regulates p14-ARF,1/10,0.036080852581350895,0.1556214550730993,43.0973287490082,143.16902243022955,HDAC4
P4,Reactome_Pathways_2024,gs_ind_0,Rab Regulation of Trafficking,2/117,0.06887801569070033,0.18230438046171882,5.944689827938559,15.904531522409396,DENND1A;RABEP1
P4,Reactome_Pathways_2024,gs_ind_0,Receptor-type Tyrosine-Protein Phosphatases,1/20,0.07087242893827944,0.18230438046171882,20.98840355624275,55.55365534242182,PTPRS
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Actin Dynamics for Phagocytic Cup Formation,2/61,0.021176158269771574,0.1432303843266989,11.56357974661946,44.576204662481985,ELMO1;VAV3
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of CDH11 Expression and Function,1/28,0.09780812250653742,0.20350224726644184,14.878300593878484,34.58829438886499,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of CDH11 mRNA Translation by microRNAs,1/9,0.032531551648223855,0.1556214550730993,48.16937629323086,165.00635843822025,TNRC6C
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Commissural Axon Pathfinding by SLIT and ROBO,1/10,0.036080852581350895,0.1556214550730993,43.0973287490082,143.16902243022955,SLIT3
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Endogenous Retroelements,1/51,0.1710168333182885,0.25008283502366163,8.09517886462013,14.296031530903484,ARID1B
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Endogenous Retroelements by Piwi-interacting RNAs (piRNAs),1/39,0.1335865701175638,0.21939025169307594,10.623050316517654,21.38425920263491,ARID1B
P4,Reactome_Pathways_2024,gs_ind_0,Regulation of Expression and Function of Type II Classical Cadherins,1/31,0.10770844937287086,0.20350224726644184,13.413378367246066,29.88939646374393,TNRC6C
