Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P2,Reactome_Pathways_2024,gs_ind_0,ABC Transporter Disorders,2/65,0.023843057614568296,0.04039202194573248,10.833566489468005,40.47704485056449,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,ABC-family Proteins Mediated Transport,2/85,0.039043681736093294,0.05664083406785365,8.23262105231162,26.699001057599013,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,ALK Mutants Bind TKIs,1/12,0.043140826609840886,0.061715349177966825,35.59951933580948,111.89945212016866,NPM1
P2,Reactome_Pathways_2024,gs_ind_0,APC C Cdc20 Mediated Degradation of Cyclin B,2/24,0.003486817880202735,0.012826508630745775,30.62098138747885,173.27696042731014,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APC C Cdc20 Mediated Degradation of Mitotic Proteins,2/63,0.02249308377240486,0.0383574110688361,11.186702983781107,42.44847477669753,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APC C Cdc20 Mediated Degradation of Securin,2/55,0.017429205952379016,0.03312192275083097,12.863276246501258,52.09122609642645,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,2/61,0.021176158269771574,0.03684365374639311,11.56357974661946,44.576204662481985,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APC C-mediated Degradation of Cell Cycle Proteins,2/74,0.030312462973749777,0.04702083864903956,9.485559250831438,33.163377457541245,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,2/61,0.021176158269771574,0.03684365374639311,11.56357974661946,44.576204662481985,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APC-Cdc20 Mediated Degradation of Nek2A,2/26,0.004086322122406134,0.014123865053954085,28.11923754273283,154.65889819684898,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,APOBEC3G Mediated Resistance to HIV-1 Infection,1/4,0.014590042112100507,0.02958217199894394,117.0043072505384,494.6258840598229,PPIA
P2,Reactome_Pathways_2024,gs_ind_0,AUF1 (hnRNP D0) Binds and Destabilizes mRNA,2/42,0.010421411814037997,0.024285190426378136,17.000376010528296,77.58789300948246,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,Activated NOTCH1 Transmits Signal to the Nucleus,2/30,0.005417514395149481,0.016706706068874148,24.169115682607533,126.11730163340725,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,Activated TAK1 Mediates P38 MAPK Activation,2/23,0.0032038827084998585,0.012043792663338883,32.046393578089955,184.05499596364183,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,2/64,0.02316397380661601,0.03937111059540345,11.00730964467005,41.44424962462814,UBA52;RPS27A
P2,Reactome_Pathways_2024,gs_ind_0,"Activation of IRF3, IRF7 Mediated by TBK1, IKKε (IKBKE)",2/18,0.0019607912697134173,0.008340494514152365,41.765113059529305,260.38072065544543,UBA52;RPS27A
