Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P7,GO_Biological_Process_2026,gs_ind_0,3'-UTR-mediated mRNA Stabilization (GO:0070935),1/18,0.06401504258973123,0.1209900677079575,23.388801148600145,64.28732849758696,RBM47
P7,GO_Biological_Process_2026,gs_ind_0,Acetyl-CoA Biosynthetic Process (GO:0006085),2/12,0.000858052708375621,0.008343433572231367,65.64539521392314,463.51196245261565,ACLY;ACSS2
P7,GO_Biological_Process_2026,gs_ind_0,Acetyl-CoA Metabolic Process (GO:0006084),7/18,2.218719818895293e-13,1.366361621803018e-11,189.4199023482911,5519.066291897787,HMGCS1;MVD;ACLY;PMVK;ACACA;ACSS2;ACACB
P7,GO_Biological_Process_2026,gs_ind_0,Acyl-CoA Biosynthetic Process (GO:0071616),4/17,3.9069486331298145e-07,1.255319582557797e-05,93.79792746113989,1384.0202155325223,FASN;ACLY;ACACA;ACSS2
P7,GO_Biological_Process_2026,gs_ind_0,Acyl-CoA Metabolic Process (GO:0006637),3/29,0.00016317431440605775,0.0026214308336103627,36.766424770198356,320.62864853177814,HMGCS1;ACACA;ACACB
P7,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Biosynthetic Process (GO:0046463),2/22,0.0029322720492415346,0.02166949044389494,33.610870372663115,196.01784692880852,DGAT2;GPAM
P7,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Catabolic Process (GO:0046464),1/33,0.11424883561195394,0.1733673296041765,12.587011982991882,27.305967256473732,MGLL
P7,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Homeostasis (GO:0055090),1/23,0.08106535561630931,0.13997032196367426,18.187939698492464,45.697191038775365,SCARB1
P7,GO_Biological_Process_2026,gs_ind_0,Acylglycerol Metabolic Process (GO:0006639),3/37,0.00033967411776744417,0.004403845140879671,28.232552954292085,225.50819083507244,DGAT2;FITM2;MGLL
P7,GO_Biological_Process_2026,gs_ind_0,Adaptive Thermogenesis (GO:1990845),1/17,0.060567584183063565,0.11747885750993169,24.80721790772042,69.5593259790493,CLSTN3
P7,GO_Biological_Process_2026,gs_ind_0,Adiponectin-activated Signaling Pathway (GO:0033211),1/6,0.021805834468432178,0.0831582823847523,74.4518044769301,284.8211635890129,ADIPOR2
P7,GO_Biological_Process_2026,gs_ind_0,Adipose Tissue Development (GO:0060612),1/14,0.05014960504049533,0.10997198256654614,30.32328308207705,90.74984291620152,DGAT2
P7,GO_Biological_Process_2026,gs_ind_0,Adult Locomotory Behavior (GO:0008344),1/11,0.03961726211805212,0.10236768078755426,38.99138549892319,125.88331156809635,PRKN
P7,GO_Biological_Process_2026,gs_ind_0,Aggresome Assembly (GO:0070842),1/5,0.018204501114733745,0.0805576426574146,91.0,364.55386253468845,PRKN
P7,GO_Biological_Process_2026,gs_ind_0,Alpha-linolenic Acid Metabolic Process (GO:0036109),2/9,0.00047140202870182124,0.005443220300166342,91.91370558375634,704.0405343731263,ELOVL1;ELOVL3
P7,GO_Biological_Process_2026,gs_ind_0,Amyloid Fibril Formation (GO:1990000),1/24,0.08443833551787916,0.14311910538466213,17.41334331230621,43.0411486823959,PRKN
P7,GO_Biological_Process_2026,gs_ind_0,Androgen Metabolic Process (GO:0008209),2/20,0.0024233666823696197,0.018654874773657803,37.24722184113047,224.32502568471043,HSD17B4;HSD17B7
P7,GO_Biological_Process_2026,gs_ind_0,Angiogenesis Involved in Wound Healing (GO:0060055),1/11,0.03961726211805212,0.10236768078755426,38.99138549892319,125.88331156809635,ADIPOR2
P7,GO_Biological_Process_2026,gs_ind_0,Apoptotic Cell Clearance (GO:0043277),1/23,0.08106535561630931,0.13997032196367426,18.187939698492464,45.697191038775365,SCARB1
P7,GO_Biological_Process_2026,gs_ind_0,Apoptotic Process (GO:0006915),2/242,0.22268562860313323,0.27111149841468773,2.8417425625547454,4.268280958650389,CIDEA;DAPK1
