Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P4,GO_Biological_Process_2026,gs_ind_0,Acetylcholine Receptor Signaling Pathway (GO:0095500),1/36,0.12397052607037776,0.18666523215400585,11.52204685398825,24.054708967199332,PLCB1
P4,GO_Biological_Process_2026,gs_ind_0,Acidic Amino Acid Transport (GO:0015800),1/24,0.08443833551787916,0.16364438101435128,17.41334331230621,43.0411486823959,SLC1A3
P4,GO_Biological_Process_2026,gs_ind_0,Actin Filament Organization (GO:0007015),2/168,0.12660428441173513,0.18666523215400585,4.116019572872364,8.506532077574791,ELMO1;FHOD3
P4,GO_Biological_Process_2026,gs_ind_0,Actin Filament Polymerization (GO:0030041),1/28,0.09780812250653742,0.17027248966109299,14.878300593878484,34.58829438886499,DIAPH3
P4,GO_Biological_Process_2026,gs_ind_0,Actin Polymerization or Depolymerization (GO:0008154),1/51,0.1710168333182885,0.22318311916501823,8.09517886462013,14.296031530903484,DIAPH3
P4,GO_Biological_Process_2026,gs_ind_0,Action Potential (GO:0001508),1/69,0.22418061724548724,0.2654462400021631,5.964017166122583,8.918014102728504,ANK3
P4,GO_Biological_Process_2026,gs_ind_0,Actomyosin Structure Organization (GO:0031032),1/88,0.2766380581250635,0.3109178670624939,4.665699928212491,5.995635654658517,FHOD3
P4,GO_Biological_Process_2026,gs_ind_0,Acute Inflammatory Response (GO:0002526),1/26,0.09114756758275655,0.16906103026085928,16.046408513154006,38.435568598252985,ANO6
P4,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),1/143,0.4094983938692628,0.4269138428039326,2.859084898175086,2.552654748599491,ABCA1
P4,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),1/211,0.5407947414030133,0.5486586470386277,1.9306150706024183,1.1867789660321344,ABCA1
P4,GO_Biological_Process_2026,gs_ind_0,Adherens Junction Maintenance (GO:0034334),1/8,0.02896931280161029,0.11626179960646253,54.59396984924623,193.34553720447744,PLEKHA7
P4,GO_Biological_Process_2026,gs_ind_0,Adherens Junction Organization (GO:0034332),1/39,0.1335865701175638,0.1920174629106662,10.623050316517654,21.38425920263491,CDH13
P4,GO_Biological_Process_2026,gs_ind_0,Amino Acid Import Across Plasma Membrane (GO:0089718),1/36,0.12397052607037776,0.18666523215400585,11.52204685398825,24.054708967199332,SLC1A3
P4,GO_Biological_Process_2026,gs_ind_0,Amino Acid Transport (GO:0006865),1/51,0.1710168333182885,0.22318311916501823,8.09517886462013,14.296031530903484,SLC1A3
P4,GO_Biological_Process_2026,gs_ind_0,Anterograde Trans-Synaptic Signaling (GO:0098916),2/168,0.12660428441173513,0.18666523215400585,4.116019572872364,8.506532077574791,GRIK4;SLC1A3
P4,GO_Biological_Process_2026,gs_ind_0,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),1/98,0.3028206973137532,0.33131287390057196,4.185620409741013,5.000202442333122,VAV3
P4,GO_Biological_Process_2026,gs_ind_0,Aortic Valve Development (GO:0003176),1/40,0.1367686379517141,0.19526296593513326,10.353730678710006,20.598380195399425,SLIT3
P4,GO_Biological_Process_2026,gs_ind_0,Aortic Valve Morphogenesis (GO:0003180),1/37,0.12718755619754754,0.18666523215400585,11.205961313416397,23.107728348226125,SLIT3
P4,GO_Biological_Process_2026,gs_ind_0,Apoptotic Process (GO:0006915),2/242,0.22268562860313323,0.26506019047643287,2.8417425625547454,4.268280958650389,ELMO1;EFNA5
P4,GO_Biological_Process_2026,gs_ind_0,Astrocyte Development (GO:0014002),1/16,0.0571075553965845,0.14387931317972816,26.40865618414654,75.60319879037347,CDK6
P4,GO_Biological_Process_2026,gs_ind_0,Astrocyte Differentiation (GO:0048708),1/6,0.021805834468432178,0.11173950205010161,74.4518044769301,284.8211635890129,CDK6
P4,GO_Biological_Process_2026,gs_ind_0,Atrioventricular Valve Development (GO:0003171),1/14,0.05014960504049533,0.13909997483709255,30.32328308207705,90.74984291620152,SLIT3
P4,GO_Biological_Process_2026,gs_ind_0,Atrioventricular Valve Morphogenesis (GO:0003181),1/21,0.07428244681570347,0.15704936890872503,19.96384360828533,51.90360975057245,SLIT3
P4,GO_Biological_Process_2026,gs_ind_0,Axon Development (GO:0061564),3/107,0.0072110476703586696,0.07786214567875373,9.296748865169917,45.85287652616959,SEMA5A;ANK3;EFNA5
P4,GO_Biological_Process_2026,gs_ind_0,Axon Extension (GO:0048675),2/23,0.0032038827084998585,0.05287226206307886,32.046393578089955,184.05499596364183,SEMA5A;SLIT3
P4,GO_Biological_Process_2026,gs_ind_0,Axon Extension Involved in Axon Guidance (GO:0048846),1/8,0.02896931280161029,0.11626179960646253,54.59396984924623,193.34553720447744,SLIT3
