Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P5,GO_Biological_Process_2026,gs_ind_0,AV Node Cell Action Potential (GO:0086016),1/7,0.025394089358317242,0.14573662827845768,62.9953614224971,231.39700796830692,CACNA1C
P5,GO_Biological_Process_2026,gs_ind_0,Actin Filament Bundle Assembly (GO:0051017),1/37,0.12718755619754754,0.2044622652821095,11.205961313416397,23.107728348226125,MYO1B
P5,GO_Biological_Process_2026,gs_ind_0,Actin Filament Bundle Organization (GO:0061572),1/38,0.13039289018139794,0.20524806787812638,10.906733668341708,22.219232230345032,MYO1B
P5,GO_Biological_Process_2026,gs_ind_0,Actin Filament Network Formation (GO:0051639),1/12,0.043140826609840886,0.14891249794259798,35.59951933580948,111.89945212016866,ACTN1
P5,GO_Biological_Process_2026,gs_ind_0,Actin Filament Organization (GO:0007015),6/168,3.6952890835957554e-05,0.0066010171226920595,11.43089947089947,116.66223600052079,MYO5B;ACTN1;NEBL;MYO1B;SH3KBP1;DSG3
P5,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),1/143,0.4094983938692628,0.43577293870281486,2.859084898175086,2.552654748599491,ADGRL3
P5,GO_Biological_Process_2026,gs_ind_0,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),1/211,0.5407947414030133,0.5614357620672504,1.9306150706024183,1.1867789660321344,ADGRL3
P5,GO_Biological_Process_2026,gs_ind_0,Adherens Junction Assembly (GO:0034333),1/11,0.03961726211805212,0.14794684282763623,38.99138549892319,125.88331156809635,DSG3
P5,GO_Biological_Process_2026,gs_ind_0,Adherens Junction Maintenance (GO:0034334),1/8,0.02896931280161029,0.14573662827845768,54.59396984924623,193.34553720447744,AFDN
P5,GO_Biological_Process_2026,gs_ind_0,Adherens Junction Organization (GO:0034332),2/39,0.009033052607095308,0.12832418872674722,18.36243654822335,86.42950837860433,DSG3;AFDN
P5,GO_Biological_Process_2026,gs_ind_0,Adrenergic Receptor Signaling Pathway (GO:0071875),1/16,0.0571075553965845,0.15409975265745024,26.40865618414654,75.60319879037347,AKAP13
P5,GO_Biological_Process_2026,gs_ind_0,Adult Locomotory Behavior (GO:0008344),1/11,0.03961726211805212,0.14794684282763623,38.99138549892319,125.88331156809635,BTBD9
P5,GO_Biological_Process_2026,gs_ind_0,Amino Acid Transport (GO:0006865),1/51,0.1710168333182885,0.23879147157379094,8.09517886462013,14.296031530903484,SLC43A2
P5,GO_Biological_Process_2026,gs_ind_0,Anoikis (GO:0043276),1/9,0.032531551648223855,0.14573662827845768,48.16937629323086,165.00635843822025,DAPK2
P5,GO_Biological_Process_2026,gs_ind_0,Antibacterial Humoral Response (GO:0019731),1/30,0.10442034991225575,0.18985518165864682,13.868580189080998,31.333708986565636,DEFB1
P5,GO_Biological_Process_2026,gs_ind_0,Antifungal Innate Immune Response (GO:0061760),1/8,0.02896931280161029,0.14573662827845768,54.59396984924623,193.34553720447744,PLCG2
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Processing and Presentation of Endogenous Peptide Antigen (GO:0002483),1/9,0.032531551648223855,0.14573662827845768,48.16937629323086,165.00635843822025,IDE
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Processing and Presentation of Endogenous Peptide Antigen via MHC Class I (GO:0019885),1/5,0.018204501114733745,0.14573662827845768,91.0,364.55386253468845,IDE
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Processing and Presentation of Exogenous Peptide Antigen (GO:0002478),1/13,0.04665159224326654,0.1495689974891966,32.75035175879397,100.38140738175221,CTSD
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Processing and Presentation of Exogenous Peptide Antigen via MHC Class II (GO:0019886),1/11,0.03961726211805212,0.14794684282763623,38.99138549892319,125.88331156809635,CTSD
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Processing and Presentation of Peptide Antigen via MHC Class I (GO:0002474),1/16,0.0571075553965845,0.15409975265745024,26.40865618414654,75.60319879037347,IDE
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Processing and Presentation of Peptide Antigen via MHC Class II (GO:0002495),1/11,0.03961726211805212,0.14794684282763623,38.99138549892319,125.88331156809635,CTSD
P5,GO_Biological_Process_2026,gs_ind_0,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3/98,0.005658106228211407,0.10125032197851991,10.176265270506109,52.65877422190065,NFATC2;PLCG2;TEC
P5,GO_Biological_Process_2026,gs_ind_0,Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844),2/70,0.027359022238275892,0.14573662827845768,10.04094260624699,36.13442976017837,DEFB1;PGLYRP4
P5,GO_Biological_Process_2026,gs_ind_0,Antimicrobial Humoral Response (GO:0019730),2/85,0.039043681736093294,0.14794684282763623,8.23262105231162,26.699001057599013,DEFB1;PGLYRP4
P5,GO_Biological_Process_2026,gs_ind_0,Apical Junction Assembly (GO:0043297),2/37,0.00815744149226313,0.12606955033497563,19.398369914921,93.2833604212486,MPP7;AFDN
P5,GO_Biological_Process_2026,gs_ind_0,Apoptotic Process (GO:0006915),2/242,0.22268562860313323,0.28198552597789683,2.8417425625547454,4.268280958650389,SEMA6A;DAPK2
P5,GO_Biological_Process_2026,gs_ind_0,Atrial Cardiac Muscle Cell Action Potential (GO:0086014),1/12,0.043140826609840886,0.14891249794259798,35.59951933580948,111.89945212016866,CACNA1C
P5,GO_Biological_Process_2026,gs_ind_0,Atrioventricular Node Development (GO:0003162),1/4,0.014590042112100507,0.14573662827845768,117.0043072505384,494.6258840598229,GATA6
P5,GO_Biological_Process_2026,gs_ind_0,Axon Development (GO:0061564),1/107,0.32558164117311317,0.3623494533514189,3.830632033406469,4.298513210159991,PAK3
P5,GO_Biological_Process_2026,gs_ind_0,Axon Guidance (GO:0007411),2/152,0.10743870118538656,0.19324998832071816,4.55630133059008,10.1643556385713,SEMA6A;EPHA4
P5,GO_Biological_Process_2026,gs_ind_0,Axonal Fasciculation (GO:0007413),1/15,0.05363491085988955,0.1513350181938792,28.2309824987004,82.591294852792,EPHA4
P5,GO_Biological_Process_2026,gs_ind_0,Axonogenesis (GO:0007409),3/205,0.03981510623155504,0.14794684282763623,4.780208926875593,15.409045948643989,SEMA6A;PAK3;EPHA4
P5,GO_Biological_Process_2026,gs_ind_0,B Cell Activation (GO:0042113),1/82,0.26046365097100105,0.3107285660706679,5.010296883188951,6.740312129922902,PLCG2
P5,GO_Biological_Process_2026,gs_ind_0,B Cell Differentiation (GO:0030183),1/52,0.17406277381902974,0.23911653777159642,7.937698199736547,13.877789521683125,PLCG2
P5,GO_Biological_Process_2026,gs_ind_0,B Cell Receptor Signaling Pathway (GO:0050853),3/31,0.00019966476469069082,0.027154407997933953,34.18380566801619,291.2074230602443,NFATC2;PLCG2;TEC
P5,GO_Biological_Process_2026,gs_ind_0,Bicellular Tight Junction Assembly (GO:0070830),2/28,0.004730110090115446,0.09640999150222002,25.995115410401304,139.17282569994805,MPP7;AFDN
P5,GO_Biological_Process_2026,gs_ind_0,Blood Vessel Morphogenesis (GO:0048514),1/51,0.1710168333182885,0.23879147157379094,8.09517886462013,14.296031530903484,FLT1
P5,GO_Biological_Process_2026,gs_ind_0,Bone Development (GO:0060348),1/44,0.14938162196228383,0.2203459933500065,9.400277248310518,17.872286764451427,AKAP13
P5,GO_Biological_Process_2026,gs_ind_0,Bradykinin Catabolic Process (GO:0010815),1/6,0.021805834468432178,0.14573662827845768,74.4518044769301,284.8211635890129,IDE
P5,GO_Biological_Process_2026,gs_ind_0,Brain Development (GO:0007420),1/155,0.43510474089023493,0.45942736615739094,2.635849148655901,2.193470614396082,EGR2
P5,GO_Biological_Process_2026,gs_ind_0,Branched-chain Amino Acid Transport (GO:0015803),1/11,0.03961726211805212,0.14794684282763623,38.99138549892319,125.88331156809635,SLC43A2
P5,GO_Biological_Process_2026,gs_ind_0,Bundle of His Cell to Purkinje Myocyte Communication (GO:0086069),1/9,0.032531551648223855,0.14573662827845768,48.16937629323086,165.00635843822025,DSP
P5,GO_Biological_Process_2026,gs_ind_0,Bundle of His cell-Purkinje Myocyte Adhesion Involved in Cell Communication (GO:0086073),1/6,0.021805834468432178,0.14573662827845768,74.4518044769301,284.8211635890129,DSP
P5,GO_Biological_Process_2026,gs_ind_0,Calcineurin-NFAT Signaling Cascade (GO:0033173),1/13,0.04665159224326654,0.1495689974891966,32.75035175879397,100.38140738175221,NFATC2
P5,GO_Biological_Process_2026,gs_ind_0,Calcineurin-mediated Signaling (GO:0097720),1/17,0.060567584183063565,0.15840752786339704,24.80721790772042,69.5593259790493,NFATC2
P5,GO_Biological_Process_2026,gs_ind_0,Calcium Ion Import (GO:0070509),1/31,0.10770844937287086,0.19324998832071816,13.413378367246066,29.88939646374393,CACNA1C
