Program,Library,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
P1,GO_Biological_Process_2026,gs_ind_0,Rho Protein Signal Transduction (GO:0007266),1/56,0.18613613194826314,0.25181057850359373,7.36452532934945,12.381806910580362,EPS8
P1,GO_Biological_Process_2026,gs_ind_0,SMAD Protein Signal Transduction (GO:0060395),1/19,0.06744997582548398,0.17396270743479142,22.123726741817194,59.65373216204687,RUNX2
P1,GO_Biological_Process_2026,gs_ind_0,Sensory Organ Development (GO:0007423),4/62,8.068910651155369e-05,0.011570817873756798,21.609804703068953,203.67039916651376,MEIS1;PBX1;PAX6;MEIS2
P1,GO_Biological_Process_2026,gs_ind_0,Sensory Perception (GO:0007600),1/59,0.19507633576312508,0.2575869847921928,6.986084267491303,11.41780694412366,GNAQ
P1,GO_Biological_Process_2026,gs_ind_0,Sensory Perception of Itch (GO:0160025),1/6,0.021805834468432178,0.1600714829285777,74.4518044769301,284.8211635890129,GNAQ
P1,GO_Biological_Process_2026,gs_ind_0,Sensory Perception of Light Stimulus (GO:0050953),2/128,0.08042285111019247,0.17939462955831412,5.42555325936478,13.674873286643548,PAX6;EFEMP1
P1,GO_Biological_Process_2026,gs_ind_0,Short-chain Fatty Acid Metabolic Process (GO:0046459),1/8,0.02896931280161029,0.1600714829285777,54.59396984924623,193.34553720447744,ACSM1
P1,GO_Biological_Process_2026,gs_ind_0,Sialylation (GO:0097503),1/9,0.032531551648223855,0.1600714829285777,48.16937629323086,165.00635843822025,ST6GALNAC2
P1,GO_Biological_Process_2026,gs_ind_0,Skeletal Muscle Organ Development (GO:0060538),1/37,0.12718755619754754,0.2077300177531699,11.205961313416397,23.107728348226125,FOXP2
P1,GO_Biological_Process_2026,gs_ind_0,Skeletal Muscle Tissue Development (GO:0007519),1/44,0.14938162196228383,0.22313879780616147,9.400277248310518,17.872286764451427,FOXP2
P1,GO_Biological_Process_2026,gs_ind_0,Skeletal System Development (GO:0001501),1/158,0.4413326282741778,0.4626249919189846,2.5853553481694185,2.114708027562443,TGM2
P1,GO_Biological_Process_2026,gs_ind_0,Small GTPase-mediated Signal Transduction (GO:0007264),2/199,0.1657028417513658,0.23809406319785426,3.465976996722997,6.230298853802392,EPS8;PLCE1
P1,GO_Biological_Process_2026,gs_ind_0,Smooth Muscle Tissue Development (GO:0048745),1/11,0.03961726211805212,0.1600714829285777,38.99138549892319,125.88331156809635,FOXP2
P1,GO_Biological_Process_2026,gs_ind_0,Sodium Ion Transmembrane Transport (GO:0035725),1/96,0.29766034184671536,0.34534379466682025,4.273593096371912,5.178749665642031,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Sodium Ion Transport (GO:0006814),1/103,0.31555794502221696,0.35856584244204365,3.980708420149528,4.5914006536709016,SLC6A6
P1,GO_Biological_Process_2026,gs_ind_0,Sphingolipid Biosynthetic Process (GO:0030148),1/80,0.25499301809085445,0.30727730079183635,5.136721342561866,7.01942789910666,FUT9
P1,GO_Biological_Process_2026,gs_ind_0,Spliceosomal Complex Assembly (GO:0000245),1/69,0.22418061724548724,0.28754472730771796,5.964017166122583,8.918014102728504,CELF2
P1,GO_Biological_Process_2026,gs_ind_0,Steroid Metabolic Process (GO:0008202),1/72,0.23270696523856207,0.29118829681683944,5.71314615033208,8.329625840241883,CYP7B1
P1,GO_Biological_Process_2026,gs_ind_0,Sterol Homeostasis (GO:0055092),2/82,0.03657684368909193,0.1600714829285777,8.540372670807454,28.254455880318755,ACSM1;CYP7B1
P1,GO_Biological_Process_2026,gs_ind_0,Sterol Metabolic Process (GO:0016125),1/53,0.17709763410262688,0.24560735715973592,7.7862167982771,13.478362460655353,CYP7B1
P1,GO_Biological_Process_2026,gs_ind_0,Striated Muscle Tissue Development (GO:0014706),1/40,0.1367686379517141,0.2150506873056557,10.353730678710006,20.598380195399425,FOXP2
P1,GO_Biological_Process_2026,gs_ind_0,Substrate Adhesion-Dependent Cell Spreading (GO:0034446),1/41,0.1399391354800803,0.21717826869960513,10.097710776102735,19.85762987649694,ANTXR1
P1,GO_Biological_Process_2026,gs_ind_0,Sulfur Amino Acid Catabolic Process (GO:0000098),1/11,0.03961726211805212,0.1600714829285777,38.99138549892319,125.88331156809635,CDO1
