term,coefficient,standard_error,P_value
const,-0.8090933616932796,0.10370887033693046,2.9406800032422777e-06
UVB,1.16212766191163,0.15841791618578133,5.699250262673584e-06
TG,0.35932842047521,0.13914005036585275,0.022748800496887017
UVB_x_TG,0.17285632974811999,0.20568199684742677,0.41587073011868697
