gene,control_mean_TPM,uvb_mean_TPM,delta_mean_log2_TPM_plus1,direction,exact_perm_one_sided_P_exploratory,exact_perm_two_sided_P_exploratory
Cxcl1,8.3225,11.073333333333332,0.5192466699670581,UP,0.2857142857142857,0.5142857142857142
Cxcl2,0.46249999999999997,0.6900000000000001,0.23296305682088836,UP,0.2,0.34285714285714286
Ccl20,1.2550000000000001,2.1266666666666665,0.5270480037773613,UP,0.08571428571428572,0.14285714285714285
Slpi,27.4075,81.55666666666667,1.5214282639234291,UP,0.02857142857142857,0.02857142857142857
S100a8,1353.7849999999999,1488.5,0.13753945763540365,UP,0.02857142857142857,0.05714285714285714
Ifitm1,51.4425,80.50333333333333,0.643535861394966,UP,0.02857142857142857,0.02857142857142857
Ifitm3,327.18499999999995,412.77666666666664,0.3332861205269495,UP,0.02857142857142857,0.02857142857142857
Il1rn,38.1925,41.72333333333333,0.12253331678866353,UP,0.17142857142857143,0.42857142857142855
Lcn2,0.11249999999999999,15.126666666666667,3.5432795031336006,UP,0.02857142857142857,0.02857142857142857
