dropped_gene,genes_used,effect_UVB_minus_control,exact_P_two_sided,complete_UVB_above_control_separation
Cxcl1,8,1.3415169853568778,0.02857142857142857,True
Cxcl2,8,1.303472941751782,0.02857142857142857,True
Ccl20,8,1.2752938423784226,0.02857142857142857,True
Slpi,8,1.2148804709674343,0.02857142857142857,True
S100a8,8,1.2434342645192422,0.02857142857142857,True
Ifitm1,8,1.2114655297325938,0.02857142857142857,True
Ifitm3,8,1.2042168488646312,0.02857142857142857,True
Il1rn,8,1.328883043695794,0.02857142857142857,True
Lcn2,8,1.196160204367282,0.02857142857142857,True
