TPM_column,group,module_score,GSM,title
C_WT_396953_MG,Control_WT,-0.8187197710166543,GSM8830383,Control_Wild-type 4
C_WT_235951_MG,Control_WT,-0.2967652774287489,GSM8830381,Control_Wild-type 2
C_WT_396025_MG,Control_WT,-0.5468233871414365,GSM8830382,Control_Wild-type 3
C_WT_91431_MG,Control_WT,-0.49375330377201987,GSM8830380,Control_Wild-type 1
U_WT_713642_MG,UVB_WT,0.7256161959777485,GSM8830390,UVB_Wild-type 2
U_WT_395857_MG,UVB_WT,0.6978936220406615,GSM8830389,UVB_Wild-type 1
U_WT_904250_MG,UVB_WT,0.7325519213404657,GSM8830391,UVB_Wild-type 3
