MG_state,sample,1,2,3,4,5,6,7,8
Acinar basal,21M_R1,0.03699474913859349,0.16072803935367216,0.050786259411704955,0.623012106937622,0.006227749815067417,0.003190026932106477,0.11174246261595126,0.007318605795282239
Acinar basal,21M_R2,0.03667495605406088,0.13428207305151113,0.04566841827503204,0.6425807707660078,0.008343667127644777,0.007064909933538584,0.11654841946088929,0.008836785331315492
Acinar basal,8W_R1,0.0780639505071932,0.01607103166006733,0.04236356071549667,0.7193639693143143,0.018162786274839013,0.008640749731263522,0.10732633848436916,0.01000761331245673
Acinar basal,8W_R2,0.036887356230718565,0.09359552153164791,0.0813754223472206,0.6495245622244882,0.011655598177267763,0.003750273081676974,0.11650500064223526,0.006706265764744743
Differentiated meibocyte,21M_R1,0.018127585763108665,0.0959425517577345,0.035935194876316585,0.029352387423684942,0.056164555515680156,0.01973025349749672,0.02843879516437773,0.7163086760016008
Differentiated meibocyte,21M_R2,0.013751185010350305,0.09246084433774189,0.03756998127350786,0.06072184269126444,0.059150057214500985,0.018955537139701797,0.013537308440654634,0.7038532438922781
Differentiated meibocyte,8W_R1,0.1324242009856399,0.05886702782098224,0.07404036476432055,0.056181361238349395,0.13480426426582703,0.06630567628671996,0.016613638701573674,0.46076346593658735
Differentiated meibocyte,8W_R2,0.02272057461600038,0.08476745839454404,0.09136036900716549,0.08212547359931406,0.05869549730746559,0.019037683633440015,0.033637779303188224,0.6076551641388822
Differentiating meibocyte,21M_R1,0.022496294848159182,0.09910034400192282,0.03666812675297561,0.09454313018098258,0.013160944960902851,0.008871922860325013,0.5754315703977528,0.14972766599697915
Differentiating meibocyte,21M_R2,0.02419635300688356,0.09475941248125508,0.0331712123086838,0.09444458501013113,0.01963538878184331,0.007711751167395185,0.6126755706107756,0.11340572663303229
Differentiating meibocyte,8W_R1,0.09056641511793337,0.01734099213039359,0.05187610343533668,0.14259047045440462,0.028568859024380003,0.027032140795067647,0.5254031355330369,0.11662188350944713
Differentiating meibocyte,8W_R2,0.030557333004643777,0.07538465356631564,0.06898918541121152,0.12207056040383694,0.024302587876358056,0.01316301106597759,0.560270874921251,0.10526179375040545
Ductal basal,21M_R1,0.3546045383701822,0.28984231869391264,0.2304764231591656,0.07160946753022261,0.018713661398172286,0.020532913466881908,0.008853626209521664,0.0053670511719411335
Ductal basal,21M_R2,0.3628081732761036,0.27838559413963865,0.2363514468557165,0.06949885122410732,0.017686358313257898,0.02131626994642103,0.009514651801398488,0.0044386544433565175
Ductal basal,8W_R1,0.5979396923317988,0.027235273149910734,0.17698875718712942,0.11731100584902056,0.029390262874036226,0.03634268973051445,0.008897076398369027,0.00589524247922075
Ductal basal,8W_R2,0.2922698879929673,0.20414803443951543,0.2952621539225889,0.12157903149202774,0.0329216803889139,0.03503775743875744,0.011775451071205173,0.007006003254024002
Ductal suprabasal,21M_R1,0.03915296318048285,0.1486491002888584,0.05203075768656848,0.262438204249,0.4383274630516652,0.019277541653239565,0.01790161197298094,0.022222357917204536
Ductal suprabasal,21M_R2,0.04033297668100612,0.1261006533864929,0.06425874383008713,0.308263272243926,0.4029688240486262,0.021337456088278944,0.015616957076799335,0.021121116644783392
Ductal suprabasal,8W_R1,0.0818929456497989,0.01336089117058752,0.05598184396350112,0.3038626857775407,0.4936639520031067,0.01921035161112378,0.016827916613281927,0.015199413211059307
Ductal suprabasal,8W_R2,0.03926712968644779,0.0957923197927838,0.10274949823890366,0.3442950495815391,0.37046754334520315,0.017257846184386763,0.01978780298597085,0.010382810184764911
Ductular,21M_R1,0.026617411659766645,0.29398002229572634,0.12490285994073187,0.23390452766719597,0.21264003328088074,0.09066626865880288,0.00918157865950637,0.008107297837389204
Ductular,21M_R2,0.029699700550137535,0.28176252879744534,0.12046923666995425,0.25698494396516236,0.2090811168732471,0.08573829336752553,0.008721792933390541,0.007542386843137316
Ductular,8W_R1,0.062461727661574526,0.05555286081555583,0.11233432492950579,0.35587772343982377,0.2732960515547504,0.12465041937574861,0.007911332356905894,0.00791555986613524
Ductular,8W_R2,0.021893311610410665,0.22386199900794457,0.15064066978455362,0.2891418565333391,0.20460771408826722,0.09297258237084197,0.010510384690147267,0.006371481914495518
Orifice,21M_R1,0.02766452662972843,0.3245889595941307,0.1258072949607957,0.05889241950889559,0.048875849521583206,0.388303246795511,0.0186120156583836,0.007255687330971768
Orifice,21M_R2,0.028060877346521268,0.3241709338983929,0.11421308474651651,0.06772753670482838,0.049141619735286836,0.39407655624144056,0.016475145044740142,0.006134246282273443
Orifice,8W_R1,0.08236618504586735,0.04480699743310767,0.10020746022210687,0.11755508501851053,0.06345164596616691,0.5442602253366954,0.035743074526417076,0.011609326451128197
Orifice,8W_R2,0.029920490379882266,0.23734660121559248,0.18348393378042147,0.07172855499139828,0.04529547571584623,0.40395794213594316,0.022588833900642917,0.0056781678802731664
