MG_state,Program,Full_8W_mean,Full_21M_mean,Full_delta_21M_minus_8W,P2excluded_8W_mean,P2excluded_21M_mean,P2excluded_delta_21M_minus_8W
Acinar basal,P4,0.6844442657694012,0.6327964388518149,-0.05164782691758629,0.7235928290641819,0.7412820826942905,0.017689253630108648
Orifice,P6,0.47410908373631927,0.39118990151847577,-0.0829191822178435,0.5507168501415114,0.5782962874178905,0.027579437276379126
Differentiating meibocyte,P7,0.542837005227144,0.5940535705042642,0.05121656527712026,0.565698384515821,0.65696415523482,0.091265770718999
Differentiated meibocyte,P8,0.5342093150377347,0.7100809599469394,0.1758716449092047,0.5732132331136539,0.7747377344062056,0.20152450129255173
