MG_state,1,2,3,4,5,6,7,8
Acinar basal,0.044701874703866995,0.09983859815684719,0.061520124473030485,0.656045564209604,0.011192541690989998,0.005117766850052313,0.11376321655230415,0.007820313363304814
Differentiated meibocyte,0.040578113302551753,0.08486892305111526,0.05785214246126901,0.05657596252094499,0.07310530681921981,0.028510633509764,0.023314279774940928,0.6351946385601943
Differentiating meibocyte,0.03689445807554901,0.0755950639889907,0.05147011441012115,0.1133151836369896,0.021532897679433893,0.01323488631298786,0.5694315653873847,0.11852583050854308
Ductal basal,0.3841754562698766,0.2169887829779089,0.23945248793097446,0.0924254919192103,0.024101974177132876,0.027402950687299362,0.00980539519233867,0.005647460845258796
Ductal suprabasal,0.050915796118581665,0.08785326925947501,0.0749231613825202,0.31295657325065157,0.4210587554751005,0.018791960644249865,0.017991540912611615,0.01550894295680956
Ductular,0.028713037216099257,0.24486064963564322,0.13216263097711747,0.27036606495915044,0.21396857500885494,0.09317146463478003,0.009445447914782943,0.007312129653571679
Orifice,0.03543267922767037,0.2638481291816146,0.13548868815320225,0.07264762854066191,0.04980623307802923,0.41443066232525594,0.0213090653823313,0.007036914111234391
